"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9992,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
3,0,9978,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22
4,0,9964,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,1,0,1,3,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36
5,0,9956,3,1,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,0,4,0,3,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,44
6,1,9936,2,0,4,1,0,0,0,0,1,3,0,2,0,0,0,1,0,3,0,0,4,0,1,2,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,2,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,63
7,0,9932,0,0,4,0,0,0,0,0,2,4,0,1,0,0,0,2,1,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,0,1,0,0,0,0,0,0,0,68
8,1,9903,0,0,7,0,0,0,0,0,1,3,0,3,0,0,0,3,0,3,0,0,0,0,1,3,0,2,0,0,1,0,0,0,8,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,9,2,0,0,0,0,3,0,3,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,16,0,0,2,0,0,0,0,0,0,0,96
9,1,9887,0,0,11,0,0,0,1,0,1,4,0,4,1,0,0,3,0,5,1,0,0,0,2,1,0,5,0,0,0,0,0,1,9,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,8,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,3,0,4,0,18,0,0,0,1,0,0,0,0,0,0,112
10,0,9866,0,0,14,0,0,0,0,0,2,7,0,1,1,0,0,2,0,8,0,0,0,0,2,3,0,5,0,1,0,1,1,0,18,0,0,1,0,5,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,8,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13,0,2,0,0,0,0,1,1,0,0,0,4,0,4,0,17,0,0,0,2,0,0,0,0,0,0,134
