"Gen","WT","Res","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10","comp11","comp12","comp13","comp14","comp15","comp16","comp17","comp18","comp19","comp20","comp21","comp22","comp23","comp24","comp25","comp26","comp27","comp28","comp29","comp30","comp31","comp32","comp33","comp34","comp35","comp36","comp37","comp38","comp39","comp40","comp41","comp42","comp43","comp44","comp45","comp46","comp47","comp48","comp49","comp50","comp51","comp52","comp53","comp54","comp55","comp56","comp57","comp58","comp59","comp60","comp61","comp62","comp63","comp64","comp65","comp66","comp67","comp68","comp69","comp70","comp71","comp72","comp73","comp74","comp75","comp76","comp77","comp78","comp79","comp80","comp81","comp82","comp83","comp84","comp85","comp86","comp87","comp88","comp89","comp90","comp91","comp92","comp93","comp94","comp95","comp96","comp97","comp98","comp99","comp100","CR","sum"
1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9992,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,0,9977,0,0,0,0,3,0,1,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23
4,0,9960,0,0,0,0,7,0,1,0,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,40
5,0,9937,0,0,0,1,8,0,2,0,0,2,0,7,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,9,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,63
6,0,9922,0,0,0,1,10,0,3,1,0,0,0,7,1,0,0,0,4,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,1,0,3,0,11,0,1,5,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,78
7,0,9908,1,0,0,0,10,0,6,2,0,0,0,7,0,0,0,1,5,0,6,1,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,3,0,2,0,13,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,92
8,0,9898,0,0,0,0,7,0,8,0,0,0,0,5,0,1,0,2,7,0,11,0,0,0,0,0,0,11,0,1,0,0,0,0,3,1,0,0,1,2,0,2,0,13,0,2,5,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,3,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,102
9,0,9877,0,1,0,0,10,0,10,0,0,0,0,7,0,1,0,2,6,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,3,3,1,4,0,13,1,3,3,0,0,0,0,1,0,3,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,3,0,0,0,3,0,0,4,0,1,0,5,0,0,1,1,2,0,0,0,0,0,0,1,0,0,2,0,123
10,0,9866,2,0,0,0,11,0,12,0,0,0,0,7,0,2,0,1,7,0,8,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,7,4,0,4,0,10,2,3,6,0,0,0,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,2,0,0,0,3,0,0,7,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,134
